topic,variety
Topic 31,Malbec
Topic 31,Sangiovese
Topic 31,Portuguese White
Topic 31,Portuguese White
Topic 31,Cabernet Blend
Topic 31,Moscato
Topic 31,Portuguese Red
Topic 31,Sauvignon Blanc
Topic 31,Chardonnay
Topic 31,Sangiovese
Topic 31,Chardonnay
Topic 31,White Blend
Topic 31,Pinot Bianco
Topic 32,Bordeaux-style Red Blend
Topic 32,Bordeaux-style Red Blend
Topic 32,Chardonnay
Topic 32,Bordeaux-style Red Blend
Topic 32,Bordeaux-style Red Blend
Topic 32,Portuguese White
Topic 32,Chardonnay
Topic 32,Pinot Noir
Topic 32,Red Blend
Topic 32,Bordeaux-style White Blend
Topic 32,Bordeaux-style Red Blend
Topic 32,Malbec
Topic 32,Portuguese Red
Topic 32,Chardonnay
Topic 32,Portuguese Red
Topic 32,Bordeaux-style White Blend
Topic 32,Bordeaux-style Red Blend
Topic 32,Chardonnay
Topic 32,Pinot Noir
Topic 32,Bordeaux-style Red Blend
Topic 32,Portuguese Red
Topic 32,Bordeaux-style Red Blend
Topic 32,Portuguese White
Topic 32,Port
Topic 32,Bordeaux-style Red Blend
Topic 33,Zinfandel
Topic 33,Viognier
Topic 33,Sauvignon Blanc
Topic 33,Chardonnay
Topic 33,Chardonnay
Topic 33,Zinfandel
Topic 33,Cabernet Sauvignon
Topic 33,Sauvignon Blanc
Topic 33,White Blend
Topic 33,Portuguese White
Topic 33,Nebbiolo
Topic 33,Bordeaux-style Red Blend
Topic 33,Pinot Noir
Topic 33,Zweigelt
Topic 33,Merlot
Topic 33,Riesling
Topic 33,Shiraz
Topic 33,Muscat
Topic 33,Red Blend
Topic 33,Gros and Petit Manseng
Topic 33,Champagne Blend
Topic 33,Bordeaux-style Red Blend
Topic 33,Red Blend
Topic 33,Portuguese White
Topic 33,Chardonnay
Topic 34,Bordeaux-style Red Blend
Topic 34,Bordeaux-style White Blend
Topic 34,Sauvignon Blanc
Topic 34,Bordeaux-style Red Blend
Topic 34,Bordeaux-style White Blend
Topic 34,Sauvignon Blanc
Topic 34,Gamay
Topic 34,Gamay
Topic 34,Scheurebe
Topic 34,Bordeaux-style Red Blend
Topic 34,Bordeaux-style Red Blend
Topic 34,Portuguese White
Topic 34,Pinot Grigio
Topic 34,Syrah
Topic 34,Champagne Blend
Topic 34,Chardonnay
Topic 34,Chardonnay
Topic 34,Bordeaux-style White Blend
Topic 34,Rosé
Topic 34,Sparkling Blend
Topic 34,Rosé
Topic 34,Cabernet Sauvignon
Topic 34,Syrah
Topic 34,Bordeaux-style Red Blend
Topic 34,Bordeaux-style White Blend
Topic 35,Merlot
Topic 35,Merlot
Topic 35,Bordeaux-style Red Blend
Topic 35,Syrah
Topic 35,Zinfandel
Topic 35,Bonarda
Topic 35,Riesling
Topic 35,Sauvignon Blanc
Topic 35,Rosado
Topic 35,Tinta de Toro
Topic 35,Port
Topic 35,Sauvignon Blanc
Topic 35,Chardonnay
Topic 35,Riesling
Topic 35,Cabernet Sauvignon
Topic 35,Chenin Blanc
Topic 35,Rhône-style Red Blend
Topic 35,Barbera
Topic 35,Rosé
Topic 35,Chardonnay
Topic 35,Port
Topic 35,Chardonnay
Topic 35,Chardonnay
Topic 35,Müller-Thurgau
Topic 35,Merlot
Topic 36,Zinfandel
Topic 36,Portuguese Red
Topic 36,Zinfandel
Topic 36,Portuguese Red
Topic 36,Rosé
Topic 36,Zinfandel
Topic 36,Zinfandel
Topic 36,Zinfandel
Topic 36,Chardonnay
Topic 36,Zinfandel
Topic 36,Zinfandel
Topic 36,Rhône-style Red Blend
Topic 36,Zinfandel
Topic 36,"Corvina, Rondinella, Molinara"
Topic 36,Grenache
Topic 36,Merlot
Topic 36,Sparkling Blend
Topic 36,Grenache
Topic 36,Cabernet Sauvignon
Topic 36,Zinfandel
Topic 36,Syrah
Topic 36,Portuguese Red
Topic 36,Zinfandel
Topic 36,Chardonnay
Topic 36,Sauvignon Blanc
Topic 37,Bordeaux-style Red Blend
Topic 37,Champagne Blend
Topic 37,Sangiovese
Topic 37,Champagne Blend
Topic 37,Syrah-Grenache
Topic 37,Bordeaux-style Red Blend
Topic 37,Chardonnay
Topic 37,Bordeaux-style Red Blend
Topic 37,Port
Topic 37,Port
Topic 37,Portuguese White
Topic 37,Bordeaux-style Red Blend
Topic 37,Syrah
Topic 37,Bordeaux-style Red Blend
Topic 37,Riesling
Topic 37,Cabernet Sauvignon
Topic 37,Bordeaux-style Red Blend
