topic,key_word
Topic 121,hard
Topic 121,herbs
Topic 121,structured
Topic 121,feels
Topic 121,candy
Topic 121,acids
Topic 121,strawberry
Topic 122,quite
Topic 122,lively
Topic 122,stone
Topic 122,concentrated
Topic 122,best
Topic 122,pineapple
Topic 122,cola
Topic 122,note
Topic 122,strawberry
Topic 122,apricot
Topic 123,cedar
Topic 123,price
Topic 123,blackberries
Topic 123,hard
Topic 123,coffee
Topic 123,finishes
Topic 123,currants
Topic 123,sugar
Topic 123,year
Topic 123,lively
Topic 124,showing
Topic 124,sweetness
Topic 124,strawberry
Topic 124,tropical
Topic 124,coffee
Topic 124,blackberries
Topic 124,currants
Topic 124,color
Topic 124,structured
Topic 124,cola
Topic 125,hard
Topic 125,showing
Topic 125,lively
Topic 125,leather
Topic 125,coffee
Topic 125,licorice
Topic 125,floral
Topic 125,complexity
Topic 125,color
Topic 125,hint
Topic 126,tropical
Topic 126,structured
Topic 126,year
Topic 126,concentrated
Topic 126,quite
Topic 126,hard
Topic 126,aged
Topic 126,wines
Topic 126,jammy
Topic 126,freshness
Topic 127,quite
Topic 127,hard
Topic 127,intense
Topic 127,tobacco
Topic 127,floral
Topic 127,bitter
Topic 127,plenty
Topic 127,hints
Topic 127,lively
Topic 127,tropical
Topic 128,showing
Topic 128,quite
Topic 128,round
Topic 128,dense
Topic 128,opens
Topic 128,intense
Topic 128,freshness
Topic 128,imported
Topic 128,leather
Topic 128,year
Topic 129,freshness
Topic 129,tobacco
Topic 129,hard
Topic 129,honey
Topic 129,wild
Topic 129,color
Topic 129,spices
Topic 129,cherries
Topic 129,forward
Topic 129,stone
Topic 130,year
Topic 130,weight
Topic 130,showing
Topic 130,sour
Topic 130,honey
Topic 130,heavy
Topic 130,cherries
Topic 130,strawberry
Topic 130,bottle
Topic 130,bitter
Topic 131,lively
Topic 131,showing
Topic 131,acids
Topic 131,price
Topic 131,tobacco
Topic 131,heavy
Topic 131,stone
Topic 131,pair
Topic 131,richness
Topic 131,berries
Topic 132,lively
Topic 132,leather
Topic 132,price
Topic 132,structured
Topic 132,sour
Topic 132,quite
Topic 132,young
Topic 132,wild
Topic 132,savory
Topic 132,melon
Topic 133,feels
Topic 133,showing
Topic 133,round
Topic 133,candied
Topic 133,almond
Topic 133,apricot
Topic 133,sugar
Topic 133,feel
Topic 133,richness
Topic 133,cedar
Topic 134,sugar
Topic 134,cinnamon
Topic 134,sharp
Topic 134,lively
Topic 134,weight
Topic 134,complexity
Topic 134,structured
Topic 134,leather
Topic 134,freshness
Topic 134,tropical
Topic 135,weight
Topic 135,round
Topic 135,lively
Topic 135,wines
Topic 135,strong
